Codelist,Code,Label,ParentCode
migration-country,all-countries-of-last-or-next-residence,All countries of last or next residence,
migration-country,european-union,European Union,all-countries-of-last-or-next-residence
migration-country,european-union-eu15,European Union EU15,european-union
migration-country,european-union-eu8,European Union EU8,european-union
migration-country,european-union-eu2,European Union EU2,european-union
migration-country,other-european-union,Other European Union,european-union
migration-country,non-european-union,Non European Union,all-countries-of-last-or-next-residence
migration-country,europe-exc-european-union,Europe exc European Union,non-european-union
migration-country,asia,Asia,non-european-union
migration-country,middle-east-and-central-asia,Middle East and Central Asia,asia
migration-country,east-asia,East Asia,asia
migration-country,south-asia,South Asia,asia
migration-country,south-east-asia,South East Asia,asia
migration-country,rest-of-world,Rest of World,non-european-union
migration-country,sub-saharan-africa,Sub-Saharan Africa,rest-of-world
migration-country,north-africa,North Africa,rest-of-world
migration-country,north-america,North America,rest-of-world
migration-country,central-and-south-america,Central and South America,rest-of-world
migration-country,oceania,Oceania,rest-of-world
migration-country,other-groupings,Other Groupings,all-countries-of-last-or-next-residence
migration-country,european-economic-area-eea,European Economic Area (EEA),other-groupings
migration-country,european-free-trade-association-efta,European Free Trade Association (EFTA),other-groupings
migration-country,commonwealth,Commonwealth,other-groupings
migration-country,non-european-union-and-non-commonwealth,Non European Union and Non Commonwealth,other-groupings
migration-country,europe-inc-european-union,Europe inc European Union,other-groupings
migration-country,old-commonwealth,Old Commonwealth,commonwealth
migration-country,new-commonwealth,New Commonwealth,commonwealth
migration-country,austria,Austria,european-union-eu15
migration-country,belgium,Belgium,european-union-eu15
migration-country,denmark,Denmark,european-union-eu15
migration-country,finland,Finland,european-union-eu15
migration-country,aland-islands,Aland Islands,european-union-eu15
migration-country,france,France,european-union-eu15
migration-country,germany,Germany,european-union-eu15
migration-country,gibraltar,Gibraltar,european-union-eu15
migration-country,greece,Greece,european-union-eu15
migration-country,republic-of-ireland,Republic of Ireland,european-union-eu15
migration-country,italy,Italy,european-union-eu15
migration-country,luxembourg,Luxembourg,european-union-eu15
migration-country,netherlands,Netherlands,european-union-eu15
migration-country,portugal,Portugal,european-union-eu15
migration-country,azores-and-madeira,Azores and Madeira,european-union-eu15
migration-country,spain-and-balearic-islands,Spain and Balearic Islands,european-union-eu15
migration-country,canary-islands,Canary Islands,european-union-eu15
migration-country,spain,Spain (not otherwise specified),european-union-eu15
migration-country,sweden,Sweden,european-union-eu15
migration-country,czech-republic,Czech Republic,european-union-eu8
migration-country,estonia,Estonia,european-union-eu8
migration-country,hungary,Hungary,european-union-eu8
migration-country,latvia,Latvia,european-union-eu8
migration-country,lithuania,Lithuania,european-union-eu8
migration-country,poland,Poland,european-union-eu8
migration-country,slovakia,Slovakia,european-union-eu8
migration-country,slovenia,Slovenia,european-union-eu8
migration-country,bulgaria,Bulgaria,european-union-eu2
migration-country,romania,Romania,european-union-eu2
migration-country,cyprus-ex,Cyprus (Ex),other-european-union
migration-country,cyprus-southern,"Cyprus, Southern",other-european-union
migration-country,malta,Malta,other-european-union
